	Adipose.Tissue	Bladder	Brain	Colon	Esophagus	Heart	Kidney	Liver	Lung	Muscle	Nerve	Pancreas	Pituitary	Skin	Small.Intestine	Stomach	Esophagus.percent
EVPs in Urine01	0	0.420013574	0.009978233	0	0.15959474	0	0.117668162	0.000134926	0	0	0.002990541	0.000140266	0	0	0.003637624	0	22.35%
EVPs in Urine02	0.003220976	0.541389571	0	0	0.714404918	0	0.138107553	0.229466077	0	0.067245789	0	0	0	0	0.016198724	0	41.78%
EVPs in Urine03	0.129383331	0.313148517	0.049764466	0	0.483255192	0.000134347	0.059553086	0.000292781	0	0	0	0	1.70E-05	0	0.037508861	0	45.04%
EVPs in Urine04	0.28902835	0.565090659	0.000178986	0.255118531	0.475768978	0	0.196883595	0	0	0	0	0	0	0	0.251918232	0	23.39%
EVPs in Urine05	0.779724161	0.347875211	0	0	0.476729582	7.90E-05	0.099369132	0	0	0	0	0	0	0	0.019084843	0	27.67%
EVPs in Urine06	0.669405115	0.603974174	0	0.316358285	0.510569502	0	0.167049659	9.81E-05	0.002164742	0.145511616	0	0	0	0.007936133	0.222486165	0	19.30%
EVPs in Urine07	1.341129545	0.641622547	0	0.023557895	0.687010548	0	0.189814333	0.118858598	0	0.126029455	0	0.035696121	0	0.027730408	0.049758187	0	21.20%
EVPs in Urine08	0	0.570232507	0.003555062	0	0.199391423	7.45E-05	0.14095383	4.29E-05	0	3.01E-05	0	9.13E-05	2.34E-05	0	0.019506701	0	21.35%
EVPs in Urine09	0	0.557213691	0.006778355	0.200667607	0.502135649	0	0.058759963	0.07902114	0.121315775	0	0	0	0	0	0.031048642	0	32.25%
EVPs in Urine10	0.123999505	0.535554145	0	0	0.591164861	0	0.139794983	0	0.08309235	0	0	0.038387694	0.023150186	0.047944203	0.011229694	0	37.08%
EVPs in Urine100	0	0.491382003	0	0	0.440800405	0	0.10585181	9.77E-05	0	0	0	0	1.52E-05	0	0.074289932	0	39.62%
EVPs in Urine101	1.488932741	0.104529511	0	0	0.606942438	0	0.010529021	0	0	0	0	0	0	0	0.002213302	0	27.42%
EVPs in Urine102	0	0.529084855	0	0.154358689	0.495736284	0	0.039270432	0	0	0	0	0.538256047	0	0	0.091267987	0	26.83%
EVPs in Urine103	0.143114393	0.549722331	0.029173039	0	0.375237033	0.000779817	0.128895761	9.56E-05	0	0	0	0.061248325	0	5.31E-05	0.073258273	0	27.56%
EVPs in Urine104	0	0.52977744	0	0.153879689	0.351105782	0.000360588	0.05765694	0.000832952	0	0	0	0.000268334	0	0	0.009402999	0	31.82%
EVPs in Urine105	0.402739487	0.587446331	0.051530125	0	0.494612656	0.019251738	0.123289067	0.057707233	0.009910968	0.017841504	0	0.013925086	0.051299995	0.005183214	0.056056095	0	26.16%
EVPs in Urine106	0	0.527168361	0.000516384	0	0.465207056	0	0.086458799	0.000104185	0	0	0	0.000126375	0	0	0.019509334	0	42.33%
EVPs in Urine107	0	0.507248248	0.000152593	0	0	6.29E-05	0.068728412	0	0	0	0	0	6.21E-06	0	0.005068272	3.95E-06	0.00%
EVPs in Urine108	0	0.532794535	0	0.146960741	0.327498156	0	0.086658549	0	0	0	0	0.000123473	0	0	0.086719194	0	27.74%
EVPs in Urine109	0	0.569279756	0.01391331	0.138418768	0.390705703	0.460200276	0.095095409	0.000409421	0	3.89E-05	0	0	0	0	0.077926066	0	22.38%
EVPs in Urine11	0.062226715	0.560462572	0	0.024173845	0.42849841	0	0.191528551	0.020530009	0	0.307575511	0	0.011903883	0	0.162239583	0.061190237	0	23.41%
EVPs in Urine110	0	0.488313651	0	0	0.208301554	5.28E-05	0.109206904	3.28E-05	0	0	0	3.92E-05	0	0	0	0	25.85%
EVPs in Urine111	0	0.440858547	0.107096157	0	0.29465637	0.000528727	0.068374596	0.001027226	0	0.002922184	0	0.000684369	0	0	0.032252993	0	31.07%
EVPs in Urine112	0	0.521585034	0	0.135394276	0.308634439	0	0.015519514	0	0	0	0	0	0	0	0.078864032	0	29.12%
EVPs in Urine113	0	0.522973696	0	0	0.416544767	0	0.164276709	0	0	0	0	0.336849191	0	0	0.015695174	0	28.60%
EVPs in Urine114	0.426236627	0.573877105	0.002497785	0.199943582	0.068902093	0.000204498	0.139791772	0.142152157	0	0.000429731	0	0.040371232	3.46E-05	0.017406431	0.162994995	0	3.88%
EVPs in Urine115	0	0.522484868	0.215558046	0	0.418982124	0	0.103369096	0.250183113	0	0	0	0	0.109249874	0	0.005177194	0	25.78%
EVPs in Urine116	0	0.345368407	0.070337282	0	0.329951691	0	0.089821189	0.121836643	0.027434188	0.008807615	0	0.005596132	0	0	0	0	33.02%
EVPs in Urine117	0	0.533843265	0	0.342093697	0.036508654	0	0.116175836	0.149734654	0.013866174	0	0	0.063362083	0	0.06088985	0.198578422	0	2.41%
EVPs in Urine118	0	0.536562894	0	0	0.432061993	0	0.178184462	0.367095149	0.015904296	0.055528988	0.014982045	0.061936642	0	0	0.01916472	0	25.70%
EVPs in Urine119	0	0.011692579	0.0058863	0	0	0.000104091	0.000400077	0.000115729	0	0	0	0	3.89E-06	0.000105409	0	0	0.00%
EVPs in Urine12	0	0.532589001	0.00039034	0	0.111617142	1.73E-05	0.159950638	3.67E-05	0	0	0	0.097556963	0	0.001655983	0.072076691	0	11.44%
EVPs in Urine120	0	0.529247769	0.000249114	0	0.036245621	0.00012503	0.138179747	5.40E-05	0	0	0	0.024994133	0	0	0.004570792	0	4.94%
EVPs in Urine121	0	0.160146046	0	0	0.571888693	0	0.053288424	0.000178774	0	0	0	0	0	0	0	0	72.81%
