sample	Adipose.Tissue	B_Memory	B_naive	Basophils	Bladder	Brain	CD4_naive	CD4_TE	CD8_CM	CD8_EM	CD8_naive	CD8_TE	Colon	DCs	Esophagus	Heart	Kidney	Liver	Lung	MAIT	Monocytes	Muscle	Nerve	Neutrophils	NK	Pancreas	Pituitary	Plasmablasts	Platelet	RBC	Skin	Small.Intestine	Stomach	T_gd	TFH	Th1	Th17	Th2	Treg
EVPs.in.Urine01	0	0	0	0	0.420013574220687	0.00997823280011272	0	0.106748342584267	0	0.383746039464064	0	0	0	0	0.159594739719158	0	0.11766816157894	0.000134926363443394	0	0.0779013468523213	0.0442087934743498	0	0.00299054119808698	0.0218897720515945	0.0198836455569768	0.000140266453831972	0	9.54477623083538e-05	0	0	0	0.00363762445283229	0	0	0	0.0952744892353736	0	0	0.503669756078
EVPs.in.Urine02	0.00322097580264256	0	0.00621150343037344	0.0171336766376907	0.541389571218786	0	0.224166572441306	0.0159905988572815	0.0140724894697045	0	0	0	0	0	0.714404917736524	0	0.138107553022023	0.229466076845823	0	0.00735185536716521	0.254908513441067	0.0672457886102791	0	0.176821671012946	0	0	0	0.0523926008343264	0	0	0	0.0161987241359464	0	0.00157419851387075	0.0637139878872995	0	0.06939650974238	0.11493564341129	0
EVPs.in.Urine03	0.129383330664696	0.000201593200506306	6.2417425172101e-05	0.0256954799285823	0.313148516986684	0.0497644664164989	0.0125036418036056	0	0	0.101914470521625	0	0	0	0.00891376604509836	0.483255191825934	0.000134346600731472	0.0595530861026468	0.000292780796532277	0	0.0134109640824374	0	0	0	0.0148096021814351	0.00156342579380664	0	1.70190641529955e-05	0	0.153080891010569	0	0	0.0375088611170706	0	0.00774573889488137	0.237944816266209	0	0	0	0
EVPs.in.Urine04	0.289028349684678	0	4.30005583248322e-05	2.8051802099846e-05	0.565090659150491	0.000178985692978945	0.0301590525755902	0.000278509890996828	0.000701231784886874	0	0	0	0.255118531114892	0	0.475768978390727	0	0.196883595285585	0	0	0.000463920785803873	0	0	0	1.42694921427405e-05	0	0	0	4.62553771033991e-05	9.11676372255393e-05	3.30351233663873e-05	0	0.251918231995234	0	0.000109984263678323	0	0	0	0.000527414322499517	0
EVPs.in.Urine05	0.779724161404241	0.0257147913230033	0	0.00859100657839765	0.347875211463786	0	0.07566219720664	0.306256577879647	0	0.162392472668679	0	0	0	0.00674368739200298	0.476729582351925	7.89804602053107e-05	0.0993691315570305	0	0	0	0.245114469163459	0	0	0.00754202534681675	0	0	0	0	0.0179439097064715	0.000174484233344263	0	0.0190848432750703	0	0.220730037356543	0	0	0	0	0.0461686208358972
EVPs.in.Urine06	0.66940511452345	0.00480000425639404	0	0	0.603974174067718	0	0.463873669090866	0.138978223507644	0	0.0777774546895076	0.0483234469289765	0	0.316358285132114	0	0.510569502487329	0	0.16704965874572	9.81047971057832e-05	0.00216474246924749	0.0385420924544496	0	0.145511616082983	0	0.0331248740476901	0.0765488315524319	0	0	0	0	0	0.00793613328203512	0.222486164784091	0	0	0.280064622246478	0.0926402906062191	0	0	0
EVPs.in.Urine07	1.34112954519699	0.00131031713454441	0	0	0.641622547433419	0	0.0180164966730334	0.182792380338925	0	0	0.0447558188736944	0	0.0235578950778129	0	0.687010547579788	0	0.189814332970029	0.11885859801031	0	0.121158827782612	0.309864198446609	0.12602945476724	0	0.108538908067321	0	0.0356961213244813	0	0.0045856595241979	0	0	0.02773040834968	0.0497581874174578	0	0	0	0	0.0282998066514646	0.0641808750324567	0
EVPs.in.Urine08	0	0.0107012375069631	0.00616208927136416	0	0.570232506767874	0.00355506160808604	0	0.0611257921068941	0.155959250443771	0	0.163486731357779	0	0	0	0.19939142312554	7.45016561919526e-05	0.140953830211461	4.28619272344055e-05	0	0	0.118373010042905	3.00681346780407e-05	0	0.0439118654403097	0	9.12716018433568e-05	2.3371304793296e-05	0	0.014643851517634	0	0	0.0195067011396013	0	0.132218137273171	0.000832106027949919	0.252224247656031	0.0407933381268107	0.50267292840375	0
EVPs.in.Urine09	0	0	0.0407469254134636	0	0.557213691390405	0.00677835523332791	0.597909088783611	0	0	0.18859460860039	0.0151197358179254	0.0397279825880278	0.200667606978147	0.00073007904696662	0.502135649101801	0	0.0587599625918692	0.0790211402194321	0.12131577510848	0.0461558274237353	0	0	0	0.0684394236870292	0.046384330893017	0	0	0	0.679684747684862	0	0	0.0310486415807507	0	0	0.481263785941671	0	0.488657188868976	0	0
EVPs.in.Urine10	0.123999504877735	0	0.00925452998363865	0	0.535554144514385	0	0.712005380900964	0.181352334703236	0.180515823147448	0	0.0911344967732194	0	0	0	0.591164860548622	0	0.139794983304615	0	0.0830923499875371	0.134216272989866	0.0558262585712509	0	0	0.0271167165792229	0.582449803679447	0.038387694149542	0.0231501856877602	0.231104838361333	0	0	0.0479442029538607	0.0112296942025644	0	0	0.36749757638385	0.27364969777952	0	0	0
EVPs.in.Urine100	0	9.15783047061858e-06	0	0	0.491382003134823	0	0.0269902606750154	0	6.75766461832317e-05	1.64105794847602e-05	0	0	0	0	0.440800404905038	0	0.105851810243816	9.76606027770638e-05	0	0	0	0	0	1.63470976041191e-05	0	0	1.52348973553179e-05	0.00011949567331801	3.80277621947478e-07	0	0	0.074289931588006	0	0	0.000168471383869578	0	3.42156508967018e-05	0	0
EVPs.in.Urine101	1.48893274073357	1.79443679190143e-05	0	1.68091152447133e-05	0.104529511430998	0	0.00578102508032059	0.000220012019055704	0.000885504692286348	0	0	0	0	3.33459436349058e-05	0.606942437818285	0	0.0105290208138547	0	0	0.000165327508890684	5.96423881144674e-05	0	0	1.90687198050885e-05	0	0	0	8.72552223600942e-05	0.000180324156227912	8.02746758390537e-05	0	0.00221330174460648	0	0.000218207011452792	0.000198822592324105	0	0	0.000409585501827753	0.000165764068686636
EVPs.in.Urine102	0	5.69498959825253e-05	0	1.31887207798012e-05	0.529084855118583	0	0.00405497839781699	0.00024426999889472	0	0	7.18394361157691e-07	7.0642896668235e-05	0.154358689138471	3.24979221349112e-05	0.495736284453985	0	0.0392704316207494	0	0	0.000536653525567428	0	0	0	1.99664114395402e-05	0	0.538256046774597	0	7.37034381574674e-05	0	0.000102861628469231	0	0.0912679865105017	0	8.84489824149806e-05	0.00506676377434543	0	0	0.000363386065540633	0
EVPs.in.Urine103	0.14311439272722	0.00124952537277537	0	0	0.549722330660851	0.0291730392614731	0.105818114216073	0.00906519680744944	0	0.0471543827190991	0.0369681528717637	0	0	0	0.375237032728455	0.000779817089554151	0.128895760778273	9.56107227941608e-05	0	0.0668301265132213	0.0661253011762521	0	0	0.0933654484905161	0	0.0612483250590996	0	0.00118245239937545	0	0	5.31158545222649e-05	0.0732582726348389	0	0.0164715826513625	0	0	0.0332141029832973	0.0673018383107137	0.0134054418149994
EVPs.in.Urine104	0	9.02726954424282e-07	1.28272100915865e-06	3.90305527751128e-06	0.529777439725734	0	1.96402823795239e-05	9.47541089951764e-07	0	0	0.000219215864331573	0.000156617852320184	0.153879688594381	1.23512240021231e-05	0.35110578174079	0.000360587807993001	0.0576569398348566	0.000832951683303315	0	0.000178684934894202	0	0	0	1.25986701487724e-05	0	0.000268334097280665	0	4.22232445005111e-05	8.21154017143499e-05	0.000120432557251193	0	0.00940299921427849	0	0	0.00591959629111483	0	0	0.000110047778479783	0
EVPs.in.Urine105	0.402739486504027	0	0	0.0232961004784718	0.587446330754308	0.0515301250947597	0.34928307391069	0	0	0.23097922918362	0	0.066541336737317	0	0	0.494612656200326	0.0192517384531101	0.123289066955096	0.0577072334232185	0.0099109678599473	0.115888370775151	0.194834833655403	0.0178415042408217	0	0.104923988652025	0.077617084534229	0.0139250855703659	0.0512999952008984	0	0.429449821214117	0	0.00518321361369027	0.0560560951720831	0	0	0.325848892917213	0.132666277788847	0	0.235299070685645	0
EVPs.in.Urine106	0	6.32064475167005e-05	0	0	0.527168361018467	0.000516383588626559	0.0381884650283677	3.41666452662176e-05	0	0	0	0.000389237364621334	0	4.70656002458658e-05	0.465207056402153	0	0.0864587992736799	0.000104185245365054	0	0.000686683857248238	0	0	0	0	0	0.000126374800049678	0	0.000116775800268643	0.171210826519398	0	0	0.0195093336989353	0	0.000412730633536501	0.00937957652820917	0	0	0	0
EVPs.in.Urine107	0	8.70628940237983e-05	0	0	0.50724824837029	0.000152592618886394	0.00183584931152458	0	0	4.90805465499233e-05	8.0868621092689e-05	4.64074499797185e-05	0	6.45733027723472e-05	0	6.28688571642777e-05	0.0687284119272891	0	0	0	0	0	0	5.30522483752072e-05	3.04840997732425e-05	0	6.20670234161014e-06	0	8.36738153582595e-05	1.79386101239187e-05	0	0.00506827191447948	3.94529397740317e-06	7.72959156274122e-05	0	0.00283136198901215	0.00136394557184333	0	0
EVPs.in.Urine108	0	0	0	1.05690054000339e-05	0.532794535124493	0	0.0031208666901272	0	0	0.000340693237250319	0.000105397994311704	0	0.146960740900317	6.14423256987403e-05	0.327498155827378	0	0.0866585487621	0	0	5.37208103735014e-05	9.19066251783263e-06	0	0	1.00275703367122e-05	0.000102055492593163	0.000123473343875052	0	5.26246272905545e-05	5.22169899652261e-05	9.51690835602713e-05	0	0.0867191937881409	0	0	0.00379525779802561	0	0	0	0
EVPs.in.Urine109	0	2.55602485113027e-05	1.48322529771594e-05	7.43813599765608e-06	0.569279756040947	0.0139133097194147	0.0195286628197627	0.00027217564155968	0.000670290832205739	0	0	5.66577452089101e-05	0.138418768452433	7.76243548183952e-06	0.390705702565023	0.460200275991364	0.095095408761739	0.000409420904914581	0	0.00054038222444458	0	3.88629734594248e-05	0	0	0	0	0	6.10689512794693e-05	0	5.83169841755771e-05	0	0.0779260656876524	0	0	0.00451371561464531	0	0	0.000156414520192466	0
EVPs.in.Urine11	0.0622267149530692	0.0371839520693585	0	0	0.560462571932026	0	0.0176596873799088	0.0734118002747624	0	0.279160623940091	0	0	0.0241738453768898	0	0.428498409785295	0	0.19152855144446	0.0205300091995779	0	0	0.244434147953133	0.30757551131874	0	0.102820132940381	0.0152210084548882	0.0119038828697229	0	0	0	0	0.162239582873449	0.0611902370180043	0	0	0	0.122423981525882	0	0.206406019370303	0.171075818562435
EVPs.in.Urine110	0	0	6.11076447115666e-05	2.25088770112892e-05	0.488313650917319	0	0	0	0	0.00022009798972443	0.000394137280091439	0.000176676573416537	0	0	0.208301554335182	5.27659106248218e-05	0.109206903653627	3.27991289866686e-05	0	9.07266248084682e-06	3.23280566387196e-05	0	0	1.93020888063916e-06	0	3.9183239717841e-05	0	7.50126109152517e-06	0.0001004998654906	0.000108189442399403	0	0	0	0	0.00242388363531184	0.00205888739679652	0	0	0
EVPs.in.Urine111	0	0	1.75555636308267e-05	1.38325356634338e-05	0.440858547227494	0.107096156991222	0.00986624836285829	0	0.000311714047296375	0.000300065849172483	0	0	0	3.4800410269405e-05	0.294656369795573	0.000528726722435841	0.0683745956481411	0.00102722577848162	0	0	0	0.00292218417988964	0	0	2.86601555666826e-05	0.000684369182514341	0	6.50175239874217e-05	3.12398416306824e-05	4.73665818713342e-05	0	0.0322529932287801	0	9.64919193888868e-05	0	0	0.00053157757860359	0	4.16172744817488e-05
EVPs.in.Urine112	0	0	3.10183418185169e-05	2.24131075409195e-05	0.521585034232134	0	0.00656410970832592	0.00026820756142952	0.000259800896017848	0	0	8.35909578083549e-05	0.135394275755775	3.34308560266949e-05	0.308634438769339	0	0.0155195140446217	0	0	0.000492404242133399	3.94085245769282e-05	0	0	0	0	0	0	6.97462805112209e-05	7.23821496247667e-05	7.06698225571289e-05	0	0.0788640318930447	0	5.17932574279761e-05	0.00377880890402775	0	0	0.000339243672916975	0
EVPs.in.Urine113	0	0	0	0	0.522973696101499	0	0	0.0158781548035144	0.00085370180636013	0	0	0.00496185203428917	0	0.000209961159210376	0.416544767120966	0	0.16427670859823	0	0	0.024809326542865	0.000160775590065764	0	0	0	0.00357148632449555	0.336849190836601	0	0	0.000434352357527451	8.11420703918375e-05	0	0.0156951742159095	0	0	0	0	0	0.300485464972883	0.288591958098299
