sample	Neutrophil	RBC	Bcell	Monocyte	CD4.Tcell	CD8.Tcell	Platelet
S0102	0.0123714411618368	0.00157189680244995	1e-10	0.0486490502932177	0.00368520011658291	1e-10	0.00432695156624993
S0104	0.0133583575468507	0.00457672740513285	1e-10	0.0793043362616788	0.00666501830314503	1e-10	0.00689405850731442
S0105	0.0217712805328834	0.00422252933203601	1e-10	0.0857926689932877	0.0142931352690894	1e-10	0.00214075287539392
S0106	0.0208524110033794	0.00427881897299776	1e-10	0.0882590520431713	0.0189961354288179	1e-10	0.0123438277794762
S0107	0.0271276866473436	0.00309673617968165	1e-10	0.072600850298997	0.0103769884507545	0.00279400264326179	0.00791091938234878
S0108	0.0011236603994999	0.00034843369776582	1e-10	0.0129593066777119	0.000292643996645359	0.000322396771674172	0.00218987973930761
S0111	0.00187902041319354	0.0013306083376341	1e-10	0.0683750954239137	0.00345319270388345	0.00113325312886747	0.0517200131985867
S0112	0.00593930551376687	0.00565696502578827	1e-10	0.153154391767183	0.0146979080496621	0.00245683373244088	0.014148116398939
S0113	0.00386256014398195	0.00642757234444027	0.000256507858750532	0.0147814103858508	0.0152923422634167	1e-10	1e-10
S0115	0.00504460956697805	0.000146951537095319	1e-10	0.0204461547596031	0.0132698581567574	1e-10	0.014748734254681
S0116	0.0197026743149144	0.00712159073529208	1e-10	0.132081073885919	0.0187650784184512	1e-10	0.0286835418050388
S0117	0.00447258143739024	0.0125692510486591	1e-10	0.0184452043494523	0.00669936408520477	1e-10	0.0235222272005649
S1504	0.00115603108576001	0.000531682490292729	1e-10	0.00936252873991922	0.0010094747280201	1e-10	1e-10
S1505	0.00273748731077816	0.000799068696435867	1e-10	0.018514922166565	0.00119369001774672	0.000811230629603088	0.00370362670959068
S1506	0.0198318092679	0.00857712868139452	1e-10	0.138333292592316	0.0198896996737208	1e-10	0.00137676922804775
S1511	0.0183261298506855	1e-10	1e-10	0.0979290836484641	0.0146569011114512	1e-10	0.094520243017618
S1512	0.0121756307041228	0.00143489119516271	1e-10	0.0562971386145357	0.00392868714758343	7.04315850792447e-05	2.95849073657095e-05
S1513	0.0161496509401644	0.00147456291203474	1e-10	0.0419864134411867	0.0140330874148331	1e-10	0.0430026589814645
S2904	0.00732082849141413	0.00353504194761987	1e-10	0.059488762794615	0.0106797553212177	1e-10	0.00590882666873327
S2905	9.91375142653794e-05	0.000666264507898306	1e-10	0.0183179305084149	0.000823245797221261	0.000103566992512683	1.33179216419421e-05
S2906	0.0144111483034936	0.00434271985340678	1e-10	0.080728898495719	0.015463440875944	1e-10	0.00097098372550572
S2911	0.000280108810390423	0.00497334002272448	1e-10	0.143037141109462	0.0138883527798555	0.00588557034137288	0.000498915443280235
S2912	0.00512585972984489	0.00586451452420146	1e-10	0.171148970685168	0.0252146714922671	1e-10	0.00103677888273442
S2913	0.00329826718629059	0.000731083571995278	1e-10	0.00813191378173103	0.0127964715651747	1e-10	0.0122042270975326
S4304	0.00593587985231195	0.000659045037325605	1e-10	0.0310520457340448	0.00353264571098955	1e-10	0.00959443799120882
S4305	0.0010378688188461	0.000327105768973317	1e-10	0.0105646110876847	0.000639303514298695	0.000136657321405942	0.000626022005563151
S4306	0.00639739099478476	0.00302637951270945	1e-10	0.095430330443028	0.0095354139700401	0.00396116002483282	0.0132859749766538
S4311	0.0168632129100175	0.00233845460268101	1e-10	0.13803448272672	0.0101861309211948	1e-10	0.0241636178814808
S4312	0.000780168156681804	0.00262817088107501	1e-10	0.0538889368373312	0.0131589345007995	1e-10	0.000480505098198331
S4313	0.00537161742335091	1e-10	0.00806370118192934	1e-10	0.0201812904485106	1e-10	0.044265083386513
