Adipose.Tissue	Bladder	Brain	Colon	Esophagus	Heart	Kidney	Liver	Lung	Muscle	Nerve	Pancreas	Pituitary	Skin	Small.Intestine	Stomach
S0102	1e-10	0.171637820695002	0.00459435232062304	0.0133589620664575	0.529674222561174	1e-10	0.0471480287383365	1e-10	1e-10	1e-10	1e-10	0.00520052873136104	1e-10	1e-10	1e-10	1e-10
S0104	1e-10	0.283643321499233	1e-10	1e-10	0.762220893201646	0.00121747327223959	0.044802078081483	1e-10	1e-10	1e-10	1e-10	0.0013293012143486	1e-10	1e-10	1e-10	1e-10
S0105	1e-10	0.747302939499397	1e-10	1e-10	1e-10	1e-10	0.0813293623276425	1e-10	1e-10	1e-10	1e-10	1e-10	0.00177168848236729	1e-10	1e-10	1e-10
S0106	1e-10	0.979671492751213	1e-10	1e-10	1e-10	1e-10	0.0178132921870005	1e-10	1e-10	1e-10	1e-10	1e-10	0.00328256737813336	1e-10	1e-10	1e-10
S0107	1e-10	1.02418209477531	0.00113268518324949	0.0516220897541804	1e-10	1e-10	0.000331389851681463	1e-10	1e-10	1e-10	1e-10	1e-10	0.000801115645814338	1e-10	1e-10	1e-10
S0108	1e-10	0.0573163945585176	0.000984711156407303	1e-10	0.918735406677096	1e-10	0.0188763475988384	1e-10	1e-10	1e-10	1e-10	1e-10	0.000402767634604714	1e-10	1e-10	1e-10
S0111	1e-10	0.777036804942609	1e-10	0.0598372958500615	1e-10	1e-10	0.00146030458345459	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	0.000144314519922584	1e-10	1e-10
S0112	1e-10	0.887816421221777	1e-10	0.00316873814563601	1e-10	1e-10	0.0341408055860062	1e-10	1e-10	1e-10	1e-10	1e-10	0.00242807296426106	1e-10	1e-10	1e-10
S0113	1e-10	0.846727457802762	0.000191727339828862	1e-10	1e-10	1e-10	0.00058482960087014	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10
S0115	1e-10	1.05762229643144	0.00357152117892056	0.0184600301270005	1e-10	1e-10	0.0302893540872002	0.00718384132808669	1e-10	1e-10	1e-10	1e-10	0.00697843198114961	1e-10	1e-10	1e-10
S0116	1e-10	0.758263071543257	0.0191849868464831	1e-10	1e-10	1e-10	0.0526371778755545	0.00419783475540908	1e-10	1e-10	1e-10	0.00238888258704711	0.00892699835985064	0.0047127943896399	0.00263777916510377	1e-10
S0117	1e-10	1.12391097846284	1e-10	1e-10	1e-10	1e-10	0.0150070527164303	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10
S1504	1e-10	1.15749679899307	0.00478941676410832	0.00105526546501739	1e-10	1e-10	0.00809811484281453	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	0.00272068934013586	1e-10	1e-10
S1505	1e-10	0.539960867070347	1e-10	0.00578534937721042	0.450090733970421	1e-10	0.0339285570915586	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	0.0017366228291022	1e-10	1e-10
S1506	1e-10	0.909135721399223	0.000526623707334695	1e-10	1e-10	1e-10	0.00498377969880393	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	0.000252091575238866	1e-10
S1511	1e-10	0.45608445095097	0.0050568382897489	0.00721166445968224	1e-10	1e-10	0.0480524904864945	1e-10	1e-10	1e-10	1e-10	1e-10	0.00201012779478477	1e-10	1e-10	1e-10
S1512	1e-10	0.598491907339009	0.00213006604889826	0.0178462509370536	0.10784861978164	1e-10	0.01601711889806	1e-10	1e-10	1e-10	1e-10	0.00238255084455388	0.000905511286677263	1e-10	1e-10	1e-10
S1513	1e-10	0.757654228350414	0.00960465038766545	1e-10	1e-10	0.00661516154149605	0.0480963709476745	0.0250364180238547	1e-10	1e-10	1e-10	0.0127962119143243	0.00767502591030124	0.0126547857987214	0.0118389407512596	0.00364826064636431
S2904	1e-10	0.983412132843946	0.00058670559085533	1e-10	1e-10	1e-10	0.0177877585117392	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10
S2905	1e-10	0.904881380900438	1e-10	1e-10	1e-10	1e-10	0.00201930287084484	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10
