	Adipose.Tissue	Bladder	Brain	Colon	Esophagus	Heart	Kidney	Liver	Lung	Muscle	Nerve	Pancreas	Pituitary	Skin	Small.Intestine	Stomach	Esophagus.percent
S0102	1.00E-10	0.171637821	0.004594352	0.013358962	0.529674223	1.00E-10	0.047148029	1.00E-10	1.00E-10	1.00E-10	1.00E-10	0.005200529	1.00E-10	1.00E-10	1.00E-10	1.00E-10	68.64%
S0104	1.00E-10	0.283643321	1.00E-10	1.00E-10	0.762220893	0.001217473	0.044802078	1.00E-10	1.00E-10	1.00E-10	1.00E-10	0.001329301	1.00E-10	1.00E-10	1.00E-10	1.00E-10	69.72%
S0105	1.00E-10	0.747302939	1.00E-10	1.00E-10	1.00E-10	1.00E-10	0.081329362	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	0.001771688	1.00E-10	1.00E-10	1.00E-10	0.00%
S0106	1.00E-10	0.979671493	1.00E-10	1.00E-10	1.00E-10	1.00E-10	0.017813292	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	0.003282567	1.00E-10	1.00E-10	1.00E-10	0.00%
S0107	1.00E-10	1.024182095	0.001132685	0.05162209	1.00E-10	1.00E-10	0.00033139	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	0.000801116	1.00E-10	1.00E-10	1.00E-10	0.00%
S0108	1.00E-10	0.057316395	0.000984711	1.00E-10	0.918735407	1.00E-10	0.018876348	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	0.000402768	1.00E-10	1.00E-10	1.00E-10	92.21%
S0111	1.00E-10	0.777036805	1.00E-10	0.059837296	1.00E-10	1.00E-10	0.001460305	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	0.000144315	1.00E-10	1.00E-10	0.00%
S0112	1.00E-10	0.887807463	1.00E-10	0.003485575	1.00E-10	1.00E-10	0.044637761	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	0.002325636	1.00E-10	1.00E-10	1.00E-10	0.00%
S0113	1.00E-10	0.846727458	0.000191727	1.00E-10	1.00E-10	1.00E-10	0.00058483	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	0.00%
S0115	1.00E-10	1.057622296	0.003571521	0.01846003	1.00E-10	1.00E-10	0.030289354	0.007183841	1.00E-10	1.00E-10	1.00E-10	1.00E-10	0.006978432	1.00E-10	1.00E-10	1.00E-10	0.00%
S0116	1.00E-10	0.758263072	0.019184987	1.00E-10	1.00E-10	1.00E-10	0.052637178	0.004197835	1.00E-10	1.00E-10	1.00E-10	0.002388883	0.008926998	0.004712794	0.002637779	1.00E-10	0.00%
S0117	1.00E-10	1.123910978	1.00E-10	1.00E-10	1.00E-10	1.00E-10	0.015007053	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	0.00%
S1504	1.00E-10	1.157496799	0.004789417	0.001055265	1.00E-10	1.00E-10	0.008098115	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	0.002720689	1.00E-10	1.00E-10	0.00%
S1505	1.00E-10	0.539960867	1.00E-10	0.005785349	0.450090734	1.00E-10	0.033928557	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	0.001736623	1.00E-10	1.00E-10	43.63%
S1506	1.00E-10	0.909135721	0.000526624	1.00E-10	1.00E-10	1.00E-10	0.00498378	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	1.00E-10	0.000252092	1.00E-10	0.00%
