Adipose.Tissue	Bladder	Brain	Colon	Esophagus	Heart	Kidney	Liver	Lung	Muscle	Nerve	Pancreas	Pituitary	Skin	Small.Intestine	Stomach
S0102	1e-10	0.171406808086155	0.00438182028360041	0.0135638482995215	0.529307452962658	1e-10	0.046563742902186	1e-10	1e-10	1e-10	1e-10	0.00484421724894808	0.00407843774372858	1e-10	1e-10	1e-10
S0104	1e-10	0.283501985476808	1e-10	1e-10	0.76194392868026	0.00122910459095235	0.0447986088603304	1e-10	1e-10	1e-10	1e-10	0.00127252831165773	1e-10	1e-10	1e-10	1e-10
S0105	1e-10	0.756007877048742	0.00753332312112724	1e-10	1e-10	0.00514510291037945	0.0957525217467265	0.0146861908497955	1e-10	1e-10	1e-10	0.00417320455015325	0.00799128249528321	1e-10	1e-10	1e-10
S0106	1e-10	0.979213210316542	1e-10	1e-10	1e-10	1e-10	0.0182088719230394	1e-10	1e-10	1e-10	1e-10	1e-10	0.00336460664160031	1e-10	1e-10	1e-10
S0107	1e-10	1.00951434986039	0.00130869507929529	0.0520713802921431	1e-10	1e-10	0.000410542874719533	1e-10	1e-10	1e-10	1e-10	1e-10	0.000886431009219021	1e-10	1e-10	1e-10
S0108	1e-10	0.0573580180805978	0.00100367814408658	1e-10	0.918530073130888	1e-10	0.0189715148668888	1e-10	1e-10	1e-10	1e-10	1e-10	0.00040708464951307	1e-10	1e-10	1e-10
S0111	1e-10	0.777022292166635	1e-10	0.0599525670586798	1e-10	1e-10	0.000638949778384079	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	6.03499981801647e-05	1e-10	1e-10
S0112	1e-10	0.887634624400541	1e-10	0.00353033972945052	1e-10	1e-10	0.0409235436574608	1e-10	1e-10	1e-10	1e-10	1e-10	0.00287273179279189	1e-10	1e-10	1e-10
S0113	1e-10	0.846831276875969	0.000128232886648288	1e-10	1e-10	1e-10	0.00118314105385198	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10
S0115	1e-10	0.871310099984533	1e-10	0.00313729615839373	1e-10	1e-10	0.0263895896534602	0.0244295335388231	1e-10	1e-10	1e-10	1e-10	0.00473045466353114	1e-10	1e-10	1e-10
S0116	1e-10	0.757860898332802	0.0189319148590308	1e-10	1e-10	1e-10	0.0525828649275746	0.00402139781845516	1e-10	1e-10	1e-10	0.00234060108219011	0.00885099287199976	0.00464158008719501	0.00239725271560823	1e-10
S0117	1e-10	1.12454575209285	1e-10	1e-10	1e-10	1e-10	0.0152097200850158	1e-10	1e-10	1e-10	1e-10	1e-10	0.000154911395555332	1e-10	1e-10	1e-10
S1504	1e-10	1.15757298227186	0.00483194379199617	0.00105320335055689	1e-10	1e-10	0.00825411842131851	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	0.00252762999729794	1e-10	1e-10
S1505	1e-10	0.539875647638568	1e-10	0.00595037576808327	0.449915030752245	1e-10	0.0340429544060904	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	0.00183673613927762	1e-10	1e-10
S1506	1e-10	0.909120939755599	0.000551711868206767	1e-10	1e-10	1e-10	0.00520473017539491	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	0.000373019456678392	1e-10
S1511	1e-10	0.456180698048375	0.00507409369478826	0.00713215287145	1e-10	1e-10	0.0481869721400378	1e-10	1e-10	1e-10	1e-10	1e-10	0.00203977755869579	1e-10	1e-10	1e-10
S1512	1e-10	0.598476658300814	0.00223737348002329	0.0176976803008368	0.107792159351879	1e-10	0.0161332781890849	1e-10	1e-10	1e-10	1e-10	0.00243678556070498	0.000991114152081099	1e-10	1e-10	1e-10
S1513	1e-10	0.75295994663304	0.0058078279730748	1e-10	1e-10	0.00308750620896074	0.0500641059496675	0.00851886691169965	1e-10	1e-10	1e-10	0.00605841615229116	0.00421173788261998	0.00660068183596929	0.000302073743946895	0.000850172879746924
S2904	1e-10	0.983331631755665	0.000565619769472864	1e-10	1e-10	1e-10	0.0179326261790559	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10
S2905	1e-10	0.904639081578478	0.000343397047629285	1e-10	1e-10	1e-10	0.00153971332774649	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10
S2906	1e-10	0.823502624449537	0.000861172309736674	1e-10	0.016176275461814	1e-10	0.0619215943949823	1e-10	1e-10	1e-10	1e-10	1e-10	0.00128953953597725	1e-10	1e-10	1e-10
S2911	1e-10	1.09673811690662	1e-10	1e-10	1e-10	1e-10	0.0211736222238198	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10
S2912	1e-10	0.984194950069779	0.00856100591602335	0.0122530423978997	1e-10	1e-10	0.0344965466973314	1e-10	1e-10	1e-10	1e-10	1e-10	0.00464444995417711	1e-10	1e-10	1e-10
S2913	1e-10	0.759210844658415	1e-10	1e-10	1e-10	1e-10	0.0211387817582619	0.0131284775247123	1e-10	1e-10	1e-10	0.00700127559743566	1e-10	0.00811165566226821	0.00668981372618049	0.000797932441989641
S4304	1e-10	0.893227917259323	1e-10	0.00208533553921353	0.199782326912455	1e-10	0.00842535069237194	0.00104505992014253	1e-10	1e-10	1e-10	1e-10	1e-10	0.00246237597570731	1e-10	1e-10
S4305	1e-10	0.43884413786768	1e-10	1e-10	0.636132655305636	1e-10	0.0098514557990188	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	0.000363147098637939	0.000305549519186377	1e-10
S4306	1e-10	0.95583343904999	1e-10	0.0124149773585735	1e-10	1e-10	0.0918624247839276	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10
S4311	1e-10	1.06587922716524	1e-10	1e-10	1e-10	1e-10	4.83428054264268e-05	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10
S4312	1e-10	0.685294483041096	1e-10	1e-10	1e-10	1e-10	0.0676234956963148	0.00284938156197331	1e-10	1e-10	1e-10	1e-10	0.00227482762797136	1e-10	1e-10	1e-10
S4313	1e-10	0.896284689416735	0.000793806305579986	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	1e-10	0.0141721703137934	1e-10	0.00041882164101853	1e-10
