S0102	S0104	S0105	S0106	S0107	S0108	S0111	S0112	S0113	S0115	S0116	S0117	S1504	S1505	S1506	S1511	S1512	S1513	S2904	S2905	S2906	S2911	S2912	S2913	S4304	S4305	S4306	S4311	S4312	S4313
aDC	0.01075573896538	0.00621675539026506	0	0	0	0.0456651804002978	3.52597291271527e-19	5.64960612814071e-22	0	0	0	0.0117226880461473	0.0134330236933942	0.00591611509816619	0.0377995580889308	3.59321655226005e-19	1.40255456496368e-19	0.077793666999426	0	0.0210275535655549	0	0.00343348627190753	1.15535122428177e-18	9.87366465850624e-19	0.0769503129035544	9.52105529516649e-19	0.0375458327534774	0.00747713507683351	0	0.0183391317590409
Adipocytes	7.93022015506672e-19	0	0	4.45188354965834e-19	4.75418169563904e-19	0	6.10087330175708e-19	1.04517206753207e-18	0	0	1.31378961463169e-18	1.68604480837991e-19	0	0	0.00132996668076175	0	1.39003865950182e-18	3.43840583576682e-19	0	0	0	0	0	0	2.54410537619399e-19	8.10547479104052e-19	0.00250766869984147	0	0	7.85445103331578e-21
Astrocytes	0	5.36958154887166e-19	0	0	1.7443182187992e-17	0.015420599633407	8.62228540090734e-19	6.55155096455788e-18	2.54867887941475e-17	6.43370012946441e-18	2.96512760166546e-19	8.41117998571973e-19	0	0.00890586686937234	0.0127978392501239	2.13951289829719e-17	0	1.67240566617343e-17	0.0453931421431643	2.82308782086668e-20	0	0	0	0	0.0260126006004177	5.54673088013726e-18	6.07227965310199e-18	8.8726967564089e-19	3.6344283541509e-18	1.195002952039e-17
B-cells	0	0	0.00206800955088688	9.46542826348304e-19	0	0	6.43148530848261e-20	0	0.00580412146842832	7.23583935640119e-19	0	4.84154187061408e-19	4.41436074592676e-19	0	0	0	1.1752833024951e-18	0.0112460645012478	0.0489180847073427	0	0	3.62646738813147e-19	1.53693245163068e-19	0.00106758318428678	1.91429537111138e-20	2.04765027267066e-19	0	0.00233111386191262	5.49436445871945e-19	0.038693969346372
Basophils	0.0243398560063009	0.107759095222121	1.54655511649377e-21	0.00827534371679785	0.073211850170687	0.108654082102478	9.92437078624141e-20	0.0034892396579654	0	0.0775923413141717	0.129679989013222	0.146623180342226	0.135478206107349	0	0.341221134045515	1.18483252944193e-18	0.0782827585967768	0.0496151588439928	0.00632940129405372	0.0463025526195992	0.0352414977746139	1.97564469225253e-18	0.149082802727312	0.0124494875643197	0.131061853879919	0.105203064430559	0.108678683866864	0.0682717822257118	0	0.0895874494035492
CD4+ memory T-cells	0	0	0.00569912542589059	0.00537740903653782	0	3.121823754414e-19	0	0.00623213486426155	0.00256046815949148	0.00166615605389603	1.38713411056029e-19	2.05261015929079e-18	0	3.90354872578543e-19	6.7449758530592e-20	0.00787056190479049	0.000497103803186113	0	0	3.65342160548534e-20	0.00117591421339446	0.00956619289401248	0	0.000288897325670366	1.46415215459676e-20	0	4.06012416224751e-19	0	0.00950429055816598	3.8126358185023e-20
CD4+ naive T-cells	5.04585505388718e-18	7.2184737353889e-18	3.18819424089196e-20	0	6.60951061000937e-21	5.88333236638204e-18	0.0332908297118919	0	1.23013701132663e-18	1.68502726432354e-18	2.21584061139961e-18	2.30950510965651e-18	3.36149703166634e-18	2.29886010924743e-18	9.72730880318012e-18	0	0	0	0.0106997895326203	6.38885647895867e-18	0	2.72358930806613e-19	0	0	0	6.79688108369457e-18	1.35577050643381e-21	5.84577899151927e-18	0.00586219337457349	2.38729631613635e-18
CD4+ T-cells	7.65702130612528e-19	0	3.00647037730051e-19	0	4.69973897742786e-18	0	1.16441113860319e-18	0.00267145210521995	1.37633528604887e-19	0	0	0	0	3.38395889098415e-18	1.46499452357613e-17	0.00464550677118282	0	0	0.00579285517520841	0.000177079788098948	0.00136583291778468	0.0215701693984102	0	0	3.55869164184539e-18	1.06993071134648e-18	4.36424603200568e-18	1.96413306820727e-18	0.020591059230593	0
CD4+ Tcm	0.0307849936546722	0.057086811543624	0	8.50751198562138e-20	0.0641892631334427	0.0739221938237733	0	4.34594103943014e-18	2.58571323063648e-18	0.0051051544693258	0.0146976689124255	0.0100489421967088	4.81113565887699e-19	0.0475559153682913	7.03435893169462e-18	2.16220683532158e-18	1.95594183070736e-19	0.0153394899560771	0.00387389253938494	0.0251409467697076	7.66166456371024e-18	4.58352055767985e-19	0.0014486286006205	1.72119064850122e-18	0.0490819907354899	0.0181066273679745	0.00305419058215775	0.03173983522992	1.99676447029531e-18	1.12587532309864e-20
CD4+ Tem	0.0849020742058069	0.0495894888322084	0.00302549818531707	1.81197931215928e-18	0.0895414175602075	0.135567698952415	0	0.011481662686125	0.0105726474254522	0.0229467408790044	0.0351601416883182	5.02156193694847e-18	2.28530988295332e-18	0.0217474911460831	0	0	1.86861931288034e-17	0.0387392769762502	0.0595786692694139	0.0605808991495524	0	0.00168259093303126	0	0	0.0739473002844796	0.0736432670293549	0	0.0126328520555114	4.94460771369979e-18	0.0734741696166876
